Title,Company,Location,Salary,Summary
"Business Intelligence Engineer, Alexa Audio Data and Insight...",Amazon.com Services LLC,"Seattle, WA+15 locations",,Favor problem statement other than data requests.Experience with data visualization using Tableau or similar tools.Advocate knowledge sharing and code review;
Data Analyst - Workplace,Amazon.com Services LLC,"Seattle, WA",,"Navigate a variety of data sources, such as space utilization data, badge data, workplace surveys, focus groups, and/or external data sources."
Actuarial Analyst - Seattle - College Program 2022,Guy Carpenter,"Seattle, WA 98101 (Downtown area)",,"Organize client data, check data for reasonability, load data into predictive models, run the models, share insights with senior colleagues, and compile…"
Data & Applied Scientist,Microsoft,"Bellevue, WA",,7+ years’ experience with data analytics / data science and the ability to review data and reports to extract meaningful insights that drive strategies and…
Power BI Developer,Logic20/20,"Seattle, WA 98178",,"Have an in-depth understanding of statistics and data management.You will partner with key stakeholders to develop and maintain Power BI dashboards, as well as…"
Data & Analytics Consultant,Accenture,"Seattle, WA 98101 (Downtown area)",,"Business Translator (identifying business problem, initiative, analytics intervention, data scientist management, data science interpretation, storytelling)."
Senior Data Engineer (Seattle/ Remote),BlueGranite,"Seattle, WA•Remote",,"Experience as a technical delivery lead for modern analytics, modern data warehouse, data lake, or data lake house solutions."
Senior Data Visualization Engineer,Zillow,Washington State•Remote,"$127,100 - $203,000 a year","A service mentality who seeks to partner with data providers and data engineering and seeks to empower data science, finance, sales, operations and business…"
Power BI Developer,haramainsystems,"Seattle, WA•Temporarily Remote",From $60 an hour,"Strong knowledge of data architecture, traditional and big data.Big data: 8 years (Preferred).Designing and developing Power BI Dashboard that captures Sprint…"
"BI Engineer, Recruiting Analytics",DoorDash,"Seattle, WA•Remote",,"You're an expert in building data pipelines, data warehousing, data modeling, and BI applications.Identify ways to improve data reliability, efficiency and…"
BI Data Analyst,TCS,"Redmond, WA",,"Integrate new data sources from internal and 3rd party systems, and monitor/fix data stream issues in Power BI data models.Azure Databricks and Data Factory."
Data Science Analyst,iconvergence,"Redmond, WA•Temporarily Remote","$76,880 - $120,000 a year",Collaborate closely with other members of the analytics and data science team and the Harman data science community.Manage and control changes & scope.
Power BI Developer Lu2334,Nisum,"Seattle, WA",,"Experience required- 4-5 years.Skills required: PowerBI, SQL, Cognos."
Data Analyst,Truveta,Washington State•Remote,,"Design and implement dashboards that enable data analysis, data exploration, and reporting.Design data models, relational schemas that are efficient and…"
Data Analyst II,Microsoft,"Redmond, WA 98052 (Overlake area)",,"2+ years of experience in analyzing large volumes of data, extracting insights processing large data sets using SQL or SQL-like scripting language."
Pharmacy Strategy and Innovation Data Analyst (ORS/CQCT),Washington State Health Care Authority,"Olympia, WA 98501 (Downtown area)•Temporarily Remote","$6,217 - $8,156 a month","Analyze and interpret complex data based on knowledge of the specific methods and design, e.g., data collection, data manipulation, analytical modeling, data…"
Data Analyst - Workplace,Amazon.com Services LLC,"Seattle, WA",,"Navigate a variety of data sources, such as space utilization data, badge data, workplace surveys, focus groups, and/or external data sources."
"Business Intelligence Engineer, Alexa Audio Data and Insight...",Amazon.com Services LLC,"Seattle, WA",,Favor problem statement other than data requests.Experience with data visualization using Tableau or similar tools.Advocate knowledge sharing and code review;
Actuarial Analyst - Seattle - College Program 2022,Guy Carpenter,"Seattle, WA 98101 (Downtown area)",,"Organize client data, check data for reasonability, load data into predictive models, run the models, share insights with senior colleagues, and compile…"
Data & Applied Scientist,Microsoft,"Bellevue, WA",,7+ years’ experience with data analytics / data science and the ability to review data and reports to extract meaningful insights that drive strategies and…
Power BI Developer,Logic20/20,"Seattle, WA 98178",,"Have an in-depth understanding of statistics and data management.You will partner with key stakeholders to develop and maintain Power BI dashboards, as well as…"
Senior Data Engineer (Seattle/ Remote),BlueGranite,"Seattle, WA•Remote",,"Experience as a technical delivery lead for modern analytics, modern data warehouse, data lake, or data lake house solutions."
Senior Data Visualization Engineer,Zillow,Washington State•Remote,"$127,100 - $203,000 a year","A service mentality who seeks to partner with data providers and data engineering and seeks to empower data science, finance, sales, operations and business…"
"BI Engineer, Recruiting Analytics",DoorDash,"Seattle, WA•Remote",,"You're an expert in building data pipelines, data warehousing, data modeling, and BI applications.Identify ways to improve data reliability, efficiency and…"
Power BI Developer,haramainsystems,"Seattle, WA•Temporarily Remote",From $60 an hour,"Strong knowledge of data architecture, traditional and big data.Big data: 8 years (Preferred).Designing and developing Power BI Dashboard that captures Sprint…"
BI Data Analyst,TCS,"Redmond, WA",,"Integrate new data sources from internal and 3rd party systems, and monitor/fix data stream issues in Power BI data models.Azure Databricks and Data Factory."
Data Science Analyst,iconvergence,"Redmond, WA•Temporarily Remote","$76,880 - $120,000 a year",Collaborate closely with other members of the analytics and data science team and the Harman data science community.Manage and control changes & scope.
Power BI Developer Lu2334,Nisum,"Seattle, WA",,"Experience required- 4-5 years.Skills required: PowerBI, SQL, Cognos."
Data Analyst,Truveta,Washington State•Remote,,"Design and implement dashboards that enable data analysis, data exploration, and reporting.Design data models, relational schemas that are efficient and…"
Data Analyst II,Microsoft,"Redmond, WA 98052 (Overlake area)",,"2+ years of experience in analyzing large volumes of data, extracting insights processing large data sets using SQL or SQL-like scripting language."
Pharmacy Strategy and Innovation Data Analyst (ORS/CQCT),Washington State Health Care Authority,"Olympia, WA 98501 (Downtown area)•Temporarily Remote","$6,217 - $8,156 a month","Analyze and interpret complex data based on knowledge of the specific methods and design, e.g., data collection, data manipulation, analytical modeling, data…"
Data Analyst - Workplace,Amazon.com Services LLC,"Seattle, WA",,"Navigate a variety of data sources, such as space utilization data, badge data, workplace surveys, focus groups, and/or external data sources."
"Business Intelligence Engineer, Alexa Audio Data and Insight...",Amazon.com Services LLC,"Seattle, WA+15 locations",,Favor problem statement other than data requests.Experience with data visualization using Tableau or similar tools.Advocate knowledge sharing and code review;
Data Analyst,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Set up large and complex data pipelines.Experience setting up, building and maintaining production data pipelines.2 years experience with SQL Database."
Actuarial Analyst - Seattle - College Program 2022,Guy Carpenter,"Seattle, WA 98101 (Downtown area)",,"Organize client data, check data for reasonability, load data into predictive models, run the models, share insights with senior colleagues, and compile…"
Data & Applied Scientist,Microsoft,"Bellevue, WA",,7+ years’ experience with data analytics / data science and the ability to review data and reports to extract meaningful insights that drive strategies and…
Senior Data Engineer (Seattle/ Remote),BlueGranite,"Seattle, WA•Remote",,"Experience as a technical delivery lead for modern analytics, modern data warehouse, data lake, or data lake house solutions."
Senior Data Visualization Engineer,Zillow,Washington State•Remote,"$127,100 - $203,000 a year","A service mentality who seeks to partner with data providers and data engineering and seeks to empower data science, finance, sales, operations and business…"
"BI Engineer, Recruiting Analytics",DoorDash,"Seattle, WA•Remote",,"You're an expert in building data pipelines, data warehousing, data modeling, and BI applications.Identify ways to improve data reliability, efficiency and…"
Power BI Developer,haramainsystems,"Seattle, WA•Temporarily Remote",From $60 an hour,"Strong knowledge of data architecture, traditional and big data.Big data: 8 years (Preferred).Designing and developing Power BI Dashboard that captures Sprint…"
BI Data Analyst,TCS,"Redmond, WA",,"Integrate new data sources from internal and 3rd party systems, and monitor/fix data stream issues in Power BI data models.Azure Databricks and Data Factory."
Data Science Analyst,iconvergence,"Redmond, WA•Temporarily Remote","$76,880 - $120,000 a year",Collaborate closely with other members of the analytics and data science team and the Harman data science community.Manage and control changes & scope.
Power BI Developer Lu2334,Nisum,"Seattle, WA",,"Experience required- 4-5 years.Skills required: PowerBI, SQL, Cognos."
Data Analyst,Truveta,Washington State•Remote,,"Design and implement dashboards that enable data analysis, data exploration, and reporting.Design data models, relational schemas that are efficient and…"
Data Analyst II,Microsoft,"Redmond, WA 98052 (Overlake area)",,"2+ years of experience in analyzing large volumes of data, extracting insights processing large data sets using SQL or SQL-like scripting language."
Pharmacy Strategy and Innovation Data Analyst (ORS/CQCT),Washington State Health Care Authority,"Olympia, WA 98501 (Downtown area)•Temporarily Remote","$6,217 - $8,156 a month","Analyze and interpret complex data based on knowledge of the specific methods and design, e.g., data collection, data manipulation, analytical modeling, data…"
Data Analyst - Workplace,Amazon.com Services LLC,"Seattle, WA",,"Navigate a variety of data sources, such as space utilization data, badge data, workplace surveys, focus groups, and/or external data sources."
"Business Intelligence Engineer, Alexa Audio Data and Insight...",Amazon.com Services LLC,"Seattle, WA",,Favor problem statement other than data requests.Experience with data visualization using Tableau or similar tools.Advocate knowledge sharing and code review;
Actuarial Analyst - Seattle - College Program 2022,Guy Carpenter,"Seattle, WA 98101 (Downtown area)",,"Organize client data, check data for reasonability, load data into predictive models, run the models, share insights with senior colleagues, and compile…"
Data & Applied Scientist,Microsoft,"Bellevue, WA",,7+ years’ experience with data analytics / data science and the ability to review data and reports to extract meaningful insights that drive strategies and…
Power BI Developer,Logic20/20,"Seattle, WA 98178",,"Have an in-depth understanding of statistics and data management.You will partner with key stakeholders to develop and maintain Power BI dashboards, as well as…"
"BI Engineer, Recruiting Analytics",DoorDash,"Seattle, WA•Remote",,"You're an expert in building data pipelines, data warehousing, data modeling, and BI applications.Identify ways to improve data reliability, efficiency and…"
Senior Service Engineer - Power BI - Data Warehouse,Providence,"Renton, WA 98057+1 location",,"Good experience leveraging data and metrics to drive behavior, process, and priority decisions.Analyzes and tracks operational cost data and reports trends,…"
Power BI Developer,haramainsystems,"Seattle, WA•Temporarily Remote",From $60 an hour,"Strong knowledge of data architecture, traditional and big data.Big data: 8 years (Preferred).Designing and developing Power BI Dashboard that captures Sprint…"
Data Science Analyst,iconvergence,"Redmond, WA•Temporarily Remote","$76,880 - $120,000 a year",Collaborate closely with other members of the analytics and data science team and the Harman data science community.Manage and control changes & scope.
Power BI Developer Lu2334,Nisum,"Seattle, WA",,"Experience required- 4-5 years.Skills required: PowerBI, SQL, Cognos."
BI Data Analyst,TCS,"Redmond, WA",,"Integrate new data sources from internal and 3rd party systems, and monitor/fix data stream issues in Power BI data models.Azure Databricks and Data Factory."
Data Analyst,Truveta,Washington State•Remote,,"Design and implement dashboards that enable data analysis, data exploration, and reporting.Design data models, relational schemas that are efficient and…"
Accenture - REPL Data Science Consultant,Accenture,"Seattle, WA 98101 (Downtown area)",,Provide data science expertise and support as required to the wider organization.Strong related academic background i.e. Masters level degree in numerate…
Pharmacy Strategy and Innovation Data Analyst (ORS/CQCT),Washington State Health Care Authority,"Olympia, WA 98501 (Downtown area)•Temporarily Remote","$6,217 - $8,156 a month","Analyze and interpret complex data based on knowledge of the specific methods and design, e.g., data collection, data manipulation, analytical modeling, data…"
Data Analyst II,Microsoft,"Redmond, WA 98052 (Overlake area)",,"2+ years of experience in analyzing large volumes of data, extracting insights processing large data sets using SQL or SQL-like scripting language."
"Business Intelligence Engineer, AFT BI Content",Amazon.com Services LLC,"Seattle, WA",,"Experience with theory and practice of information retrieval, data science, machine learning and data mining.Ability to develop experimental and analytic plans…"
Actuarial Analyst - Seattle - College Program 2022,Guy Carpenter,"Seattle, WA 98101 (Downtown area)",,"Organize client data, check data for reasonability, load data into predictive models, run the models, share insights with senior colleagues, and compile…"
Data & Applied Scientist,Microsoft,"Bellevue, WA",,7+ years’ experience with data analytics / data science and the ability to review data and reports to extract meaningful insights that drive strategies and…
Finance Rotation Program Analyst: Full-time Opportunities fo...,Microsoft,"Redmond, WA 98052 (Overlake area)",,Developing data modeling skills by managing and manipulating complex data.SQL/R/Python or other programming/data science experience preferred.
Pharmacy Strategy and Innovation Data Analyst (ORS/CQCT),State of Washington Health Care Authority,"Olympia, WA•Temporarily Remote","$6,217 - $8,156 a month","Analyze and interpret complex data based on knowledge of the specific methods and design, e.g., data collection, data manipulation, analytical modeling, data…"
"BI Engineer, Recruiting Analytics",DoorDash,"Seattle, WA•Remote",,"You're an expert in building data pipelines, data warehousing, data modeling, and BI applications.Identify ways to improve data reliability, efficiency and…"
Senior Service Engineer - Power BI - Data Warehouse,Providence,"Renton, WA 98057+1 location",,"Good experience leveraging data and metrics to drive behavior, process, and priority decisions.Analyzes and tracks operational cost data and reports trends,…"
Power BI Developer,haramainsystems,"Seattle, WA•Temporarily Remote",From $60 an hour,"Strong knowledge of data architecture, traditional and big data.Big data: 8 years (Preferred).Designing and developing Power BI Dashboard that captures Sprint…"
Data Science Analyst,iconvergence,"Redmond, WA•Temporarily Remote","$76,880 - $120,000 a year",Collaborate closely with other members of the analytics and data science team and the Harman data science community.Manage and control changes & scope.
Power BI Developer Lu2334,Nisum,"Seattle, WA",,"Experience required- 4-5 years.Skills required: PowerBI, SQL, Cognos."
BI Data Analyst,TCS,"Redmond, WA",,"Integrate new data sources from internal and 3rd party systems, and monitor/fix data stream issues in Power BI data models.Azure Databricks and Data Factory."
Data Analyst,Truveta,Washington State•Remote,,"Design and implement dashboards that enable data analysis, data exploration, and reporting.Design data models, relational schemas that are efficient and…"
Accenture - REPL Data Science Consultant,Accenture,"Seattle, WA 98101 (Downtown area)",,Provide data science expertise and support as required to the wider organization.Strong related academic background i.e. Masters level degree in numerate…
Pharmacy Strategy and Innovation Data Analyst (ORS/CQCT),Washington State Health Care Authority,"Olympia, WA 98501 (Downtown area)•Temporarily Remote","$6,217 - $8,156 a month","Analyze and interpret complex data based on knowledge of the specific methods and design, e.g., data collection, data manipulation, analytical modeling, data…"
Data Analyst II,Microsoft,"Redmond, WA 98052 (Overlake area)",,"2+ years of experience in analyzing large volumes of data, extracting insights processing large data sets using SQL or SQL-like scripting language."
"Business Intelligence Engineer, AFT BI Content",Amazon.com Services LLC,"Seattle, WA",,"Experience with theory and practice of information retrieval, data science, machine learning and data mining.Ability to develop experimental and analytic plans…"
Actuarial Analyst - Seattle - College Program 2022,Guy Carpenter,"Seattle, WA 98101 (Downtown area)",,"Organize client data, check data for reasonability, load data into predictive models, run the models, share insights with senior colleagues, and compile…"
Data & Applied Scientist,Microsoft,"Bellevue, WA",,7+ years’ experience with data analytics / data science and the ability to review data and reports to extract meaningful insights that drive strategies and…
Finance Rotation Program Analyst: Full-time Opportunities fo...,Microsoft,"Redmond, WA 98052 (Overlake area)",,Developing data modeling skills by managing and manipulating complex data.SQL/R/Python or other programming/data science experience preferred.
Pharmacy Strategy and Innovation Data Analyst (ORS/CQCT),State of Washington Health Care Authority,"Olympia, WA•Temporarily Remote","$6,217 - $8,156 a month","Analyze and interpret complex data based on knowledge of the specific methods and design, e.g., data collection, data manipulation, analytical modeling, data…"
"BI Engineer, Recruiting Analytics",DoorDash,"Seattle, WA•Remote",,"You're an expert in building data pipelines, data warehousing, data modeling, and BI applications.Identify ways to improve data reliability, efficiency and…"
Senior Service Engineer - Power BI - Data Warehouse,Providence,"Renton, WA 98057+1 location",,"Good experience leveraging data and metrics to drive behavior, process, and priority decisions.Analyzes and tracks operational cost data and reports trends,…"
Power BI Developer,haramainsystems,"Seattle, WA•Temporarily Remote",From $60 an hour,"Strong knowledge of data architecture, traditional and big data.Big data: 8 years (Preferred).Designing and developing Power BI Dashboard that captures Sprint…"
Data Science Analyst,iconvergence,"Redmond, WA•Temporarily Remote","$76,880 - $120,000 a year",Collaborate closely with other members of the analytics and data science team and the Harman data science community.Manage and control changes & scope.
Power BI Developer Lu2334,Nisum,"Seattle, WA",,"Experience required- 4-5 years.Skills required: PowerBI, SQL, Cognos."
BI Data Analyst,TCS,"Redmond, WA",,"Integrate new data sources from internal and 3rd party systems, and monitor/fix data stream issues in Power BI data models.Azure Databricks and Data Factory."
Data Analyst,Truveta,Washington State•Remote,,"Design and implement dashboards that enable data analysis, data exploration, and reporting.Design data models, relational schemas that are efficient and…"
Accenture - REPL Data Science Consultant,Accenture,"Seattle, WA 98101 (Downtown area)",,Provide data science expertise and support as required to the wider organization.Strong related academic background i.e. Masters level degree in numerate…
Pharmacy Strategy and Innovation Data Analyst (ORS/CQCT),Washington State Health Care Authority,"Olympia, WA 98501 (Downtown area)•Temporarily Remote","$6,217 - $8,156 a month","Analyze and interpret complex data based on knowledge of the specific methods and design, e.g., data collection, data manipulation, analytical modeling, data…"
Data Analyst II,Microsoft,"Redmond, WA 98052 (Overlake area)",,"2+ years of experience in analyzing large volumes of data, extracting insights processing large data sets using SQL or SQL-like scripting language."
Data Analyst,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Set up large and complex data pipelines.Experience setting up, building and maintaining production data pipelines.2 years experience with SQL Database."
"Business Intelligence Engineer, AFT BI Content",Amazon.com Services LLC,"Seattle, WA+17 locations",,"Experience with theory and practice of information retrieval, data science, machine learning and data mining.Ability to develop experimental and analytic plans…"
Actuarial Analyst - Seattle - College Program 2022,Guy Carpenter,"Seattle, WA 98101 (Downtown area)",,"Organize client data, check data for reasonability, load data into predictive models, run the models, share insights with senior colleagues, and compile…"
Data & Applied Scientist,Microsoft,"Bellevue, WA",,7+ years’ experience with data analytics / data science and the ability to review data and reports to extract meaningful insights that drive strategies and…
Finance Rotation Program Analyst: Full-time Opportunities fo...,Microsoft,"Redmond, WA 98052 (Overlake area)",,Developing data modeling skills by managing and manipulating complex data.SQL/R/Python or other programming/data science experience preferred.
"BI Engineer, Recruiting Analytics",DoorDash,"Seattle, WA•Remote",,"You're an expert in building data pipelines, data warehousing, data modeling, and BI applications.Identify ways to improve data reliability, efficiency and…"
Senior Service Engineer - Power BI - Data Warehouse,Providence,"Renton, WA 98057+1 location",,"Good experience leveraging data and metrics to drive behavior, process, and priority decisions.Analyzes and tracks operational cost data and reports trends,…"
Power BI Developer,haramainsystems,"Seattle, WA•Temporarily Remote",From $60 an hour,"Strong knowledge of data architecture, traditional and big data.Big data: 8 years (Preferred).Designing and developing Power BI Dashboard that captures Sprint…"
Data Science Analyst,iconvergence,"Redmond, WA•Temporarily Remote","$76,880 - $120,000 a year",Collaborate closely with other members of the analytics and data science team and the Harman data science community.Manage and control changes & scope.
Power BI Developer Lu2334,Nisum,"Seattle, WA",,"Experience required- 4-5 years.Skills required: PowerBI, SQL, Cognos."
BI Data Analyst,TCS,"Redmond, WA",,"Integrate new data sources from internal and 3rd party systems, and monitor/fix data stream issues in Power BI data models.Azure Databricks and Data Factory."
Data Analyst,Truveta,Washington State•Remote,,"Design and implement dashboards that enable data analysis, data exploration, and reporting.Design data models, relational schemas that are efficient and…"
Accenture - REPL Data Science Consultant,Accenture,"Seattle, WA 98101 (Downtown area)",,Provide data science expertise and support as required to the wider organization.Strong related academic background i.e. Masters level degree in numerate…
Pharmacy Strategy and Innovation Data Analyst (ORS/CQCT),Washington State Health Care Authority,"Olympia, WA 98501 (Downtown area)•Temporarily Remote","$6,217 - $8,156 a month","Analyze and interpret complex data based on knowledge of the specific methods and design, e.g., data collection, data manipulation, analytical modeling, data…"
Data Analyst II,Microsoft,"Redmond, WA 98052 (Overlake area)",,"2+ years of experience in analyzing large volumes of data, extracting insights processing large data sets using SQL or SQL-like scripting language."
"Business Intelligence Engineer, AFT BI Content",Amazon.com Services LLC,"Seattle, WA",,"Experience with theory and practice of information retrieval, data science, machine learning and data mining.Ability to develop experimental and analytic plans…"
Actuarial Analyst - Seattle - College Program 2022,Guy Carpenter,"Seattle, WA 98101 (Downtown area)",,"Organize client data, check data for reasonability, load data into predictive models, run the models, share insights with senior colleagues, and compile…"
Data & Applied Scientist,Microsoft,"Bellevue, WA",,7+ years’ experience with data analytics / data science and the ability to review data and reports to extract meaningful insights that drive strategies and…
Finance Rotation Program Analyst: Full-time Opportunities fo...,Microsoft,"Redmond, WA 98052 (Overlake area)",,Developing data modeling skills by managing and manipulating complex data.SQL/R/Python or other programming/data science experience preferred.
Pharmacy Strategy and Innovation Data Analyst (ORS/CQCT),State of Washington Health Care Authority,"Olympia, WA•Temporarily Remote","$6,217 - $8,156 a month","Analyze and interpret complex data based on knowledge of the specific methods and design, e.g., data collection, data manipulation, analytical modeling, data…"
"Data Scientist II, Premier Agent",Zillow,Washington State•Remote,"$107,800 - $172,200 a year",Work with engineering teams to improve data collection procedures to ensure integrity and quality of the data.
"Senior Data Scientist, Rich Media Experiences",Zillow,Washington State•Remote,"$127,100 - $203,000 a year","Bachelor in Mathematics, Statistics, Engineering, or another field related to data science.Design and build data automation (ETL) to convert production system…"
Data Scientist - SQL/Tableau,Ursus,"Seattle, WA 98109 (Westlake area)",,"Experienced in either programming languages such as Python and/or R, big data tools such as Hadoop, or data visualization tools such as Tableau."
"Associate, Data and Analytic Modeler",KPMG,"Seattle, WA 98101 (Downtown area)",,"Broad, versatile knowledge of analytics and data science landscape, combined with strong business consulting acumen, enabling the identification, design and…"
Senior Data Scientist,Zillow,Washington State•Remote,"$127,100 - $203,000 a year",5+ years of work experience involving quantitative data analysis and sophisticated problem solving.You’ll use our wealth of internal and external data sources…
Data Scientist - Big Data,Ursus,"Seattle, WA 98109 (Westlake area)",,"Experienced in either programming languages such as Python and/or R, big data tools such as Hadoop, or data visualization tools such as Tableau."
"Graduate Data Science, Analyst I - August 2022 - Seattle",Expedia.com,"Seattle, WA 98119 (Queen Anne area)",,You'll become a data specialist and the point of contact for data questions and insights.You'll make use of data visualization principles.
Data Scientist,Disney Media & Entertainment Distribution,"Seattle, WA",,"Design, develop, or improve new user-friendly web applications supporting data science products, contributing to our vision for a “one-stop shop” forecasting…"
"Product Ops Data Analyst, Tableau",Salesforce,"Seattle, WA","$86,000 a year","Analyze and integrate complex data coming in from multiple disparate sources; Use SQL to create published data sources that enable you, your stakeholders, and…"
Early Careers: Data Science Launch,Aon Corporation,"Bellevue, WA 98004 (Northwest Bellevue area)•Remote",,"Undergrad with significant computer science, data engineering, and quantitative coursework.ETL experience including data cleaning and preparation for modeling."
Data Science Manager (Analytics),Textio,"Seattle, WA 98104•Remote",,Have experience developing and leading collaborative data science teams.Have proven experience building analytics/BI solutions that synthesize data from…
Data Analyst,Epitec,"Bellevue, WA 98004 (Downtown area)•Temporarily Remote",$75 - $90 an hour,"Design, implement, automate and maintain large scale enterprise data ETL processes.Bachelor's degree in a technical field such as computer science, computer…"
Senior Business Intelligence Engineer - People Data (Remote...,Redfin,"Seattle, WA•Remote",,"Partner with other BIEs and Data Engineering to collaborate on the design and build of a new data model for people data, transforming data from staging tables…"
Data Analyst,Renton Technical College,"Renton, WA 98056 (Sunset area)","$4,288 - $6,046 a month",Assist with data summit planning and contribute to the data presentations.Knowledge of data equity or willingness to engage in data equity professional…
Data Scientist 2,Expedia.com,"Seattle, WA 98119 (Queen Anne area)",,"3 years of data science and/or analytics professional experience translating complex data findings into clear insights through languages such as SQL, R and…"
Data Scientist - SQL/Tableau,Ursus,"Seattle, WA 98109 (Westlake area)+1 location",,"Experienced in either programming languages such as Python and/or R, big data tools such as Hadoop, or data visualization tools such as Tableau."
"Data Scientist II, Premier Agent",Zillow,Washington State•Remote,"$107,800 - $172,200 a year",Work with engineering teams to improve data collection procedures to ensure integrity and quality of the data.
"Senior Data Scientist, Rich Media Experiences",Zillow,Washington State+1 location•Remote,"$127,100 - $203,000 a year","Bachelor in Mathematics, Statistics, Engineering, or another field related to data science.Design and build data automation (ETL) to convert production system…"
"Associate, Data and Analytic Modeler",KPMG,"Seattle, WA 98101 (Downtown area)",,"Broad, versatile knowledge of analytics and data science landscape, combined with strong business consulting acumen, enabling the identification, design and…"
"Graduate Data Science, Analyst I - August 2022 - Seattle",Expedia.com,"Seattle, WA 98119 (Queen Anne area)+1 location",,You'll become a data specialist and the point of contact for data questions and insights.You'll make use of data visualization principles.
Data Scientist,Disney Media & Entertainment Distribution,"Seattle, WA",,"Design, develop, or improve new user-friendly web applications supporting data science products, contributing to our vision for a “one-stop shop” forecasting…"
Data Analyst,Epitec,"Bellevue, WA 98004 (Downtown area)•Temporarily Remote",$75 - $90 an hour,"Design, implement, automate and maintain large scale enterprise data ETL processes.Bachelor's degree in a technical field such as computer science, computer…"
"Product Ops Data Analyst, Tableau",Salesforce,"Seattle, WA","$86,000 a year","Analyze and integrate complex data coming in from multiple disparate sources; Use SQL to create published data sources that enable you, your stakeholders, and…"
Early Careers: Data Science Launch,Aon Corporation,"Bellevue, WA 98004 (Northwest Bellevue area)•Remote",,"Undergrad with significant computer science, data engineering, and quantitative coursework.ETL experience including data cleaning and preparation for modeling."
Data Science Manager (Analytics),Textio,"Seattle, WA 98104•Remote",,Have experience developing and leading collaborative data science teams.Have proven experience building analytics/BI solutions that synthesize data from…
Senior Business Intelligence Engineer - People Data (Remote...,Redfin,"Seattle, WA•Remote",,"Partner with other BIEs and Data Engineering to collaborate on the design and build of a new data model for people data, transforming data from staging tables…"
Data Analyst,Renton Technical College,"Renton, WA 98056 (Sunset area)","$4,288 - $6,046 a month",Assist with data summit planning and contribute to the data presentations.Knowledge of data equity or willingness to engage in data equity professional…
Data Analyst - Tiktok Ads,TikTok,"Seattle, WA",,"Expert experience pulling large and complex data using SQL and writing data pipelines.Work closely with key cross functional teams such as product managers,…"
Data Scientist,ASSURANCE,"Seattle, WA 98155",,"Bachelors degree in mathematics, statistics, data science or related field of study.Experience and working knowledge of data infrastructure, pipelines, and…"
Data and Applied Scientist,Microsoft,"Redmond, WA 98052 (Overlake area)+1 location",,"Work with large, complex data sets.Partner with analysts, data scientists, program managers, data engineers to develop foundational capabilities for generating…"
Data Scientist - SQL/Tableau,Ursus,"Seattle, WA 98109 (Westlake area)",,"Experienced in either programming languages such as Python and/or R, big data tools such as Hadoop, or data visualization tools such as Tableau."
"Data Scientist II, Premier Agent",Zillow,Washington State•Remote,"$107,800 - $172,200 a year",Work with engineering teams to improve data collection procedures to ensure integrity and quality of the data.
"Senior Data Scientist, Rich Media Experiences",Zillow,Washington State•Remote,"$127,100 - $203,000 a year","Bachelor in Mathematics, Statistics, Engineering, or another field related to data science.Design and build data automation (ETL) to convert production system…"
"Associate, Data and Analytic Modeler",KPMG,"Seattle, WA 98101 (Downtown area)",,"Broad, versatile knowledge of analytics and data science landscape, combined with strong business consulting acumen, enabling the identification, design and…"
Data Scientist - Big Data,Ursus,"Seattle, WA 98109 (Westlake area)",,"Experienced in either programming languages such as Python and/or R, big data tools such as Hadoop, or data visualization tools such as Tableau."
Senior Data Scientist,Zillow,Washington State•Remote,"$127,100 - $203,000 a year",5+ years of work experience involving quantitative data analysis and sophisticated problem solving.You’ll use our wealth of internal and external data sources…
Data Analyst,Epitec,"Bellevue, WA 98004 (Downtown area)•Temporarily Remote",$75 - $90 an hour,"Design, implement, automate and maintain large scale enterprise data ETL processes.Bachelor's degree in a technical field such as computer science, computer…"
"Graduate Data Science, Analyst I - August 2022 - Seattle",Expedia.com,"Seattle, WA 98119 (Queen Anne area)",,You'll become a data specialist and the point of contact for data questions and insights.You'll make use of data visualization principles.
Data Scientist,Disney Media & Entertainment Distribution,"Seattle, WA",,"Design, develop, or improve new user-friendly web applications supporting data science products, contributing to our vision for a “one-stop shop” forecasting…"
"Product Ops Data Analyst, Tableau",Salesforce,"Seattle, WA","$86,000 a year","Analyze and integrate complex data coming in from multiple disparate sources; Use SQL to create published data sources that enable you, your stakeholders, and…"
Early Careers: Data Science Launch,Aon Corporation,"Bellevue, WA 98004 (Northwest Bellevue area)•Remote",,"Undergrad with significant computer science, data engineering, and quantitative coursework.ETL experience including data cleaning and preparation for modeling."
Data Science Manager (Analytics),Textio,"Seattle, WA 98104•Remote",,Have experience developing and leading collaborative data science teams.Have proven experience building analytics/BI solutions that synthesize data from…
Senior Business Intelligence Engineer - People Data (Remote...,Redfin,"Seattle, WA•Remote",,"Partner with other BIEs and Data Engineering to collaborate on the design and build of a new data model for people data, transforming data from staging tables…"
Data Scientist 2,Expedia.com,"Seattle, WA 98119 (Queen Anne area)",,"3 years of data science and/or analytics professional experience translating complex data findings into clear insights through languages such as SQL, R and…"
Data Analyst,Renton Technical College,"Renton, WA 98056 (Sunset area)","$4,288 - $6,046 a month",Assist with data summit planning and contribute to the data presentations.Knowledge of data equity or willingness to engage in data equity professional…
